,time,n,0,1,2,3,4,5,6,7
2534,2019-04-24 17:02:11,489,botID1212,botinstance2323,task000,None,None,None,VDR_CRZ_new_w16_SU_CRZ_CIQ _Chart_02.jpg is not an image,
2535,2019-04-24 17:02:11,614,botID1212,botinstance2323,task000,None,None,None,VDR_CRZ_new_w16_SU VDR_CRZ_FC_Chart_02.jpg is not an image,
2536,2019-04-24 17:02:21,703,botID1212,botinstance2323,task000,None,None,None,MBH_RATP_w16_new_MBH W-1_Chart_02.jpg is not an image,
2537,2019-04-24 17:02:35,242,botID1212,botinstance2323,task000,None,None,None,RATP_IMES_2019.04.22_RATP_CHECK_CIQ_Chart_02.jpg is not an image,
2538,2019-04-24 17:02:55,80,botID1212,botinstance2323,task000,None,None,None,Promo_SWAP3K6K_w16_PRQ SWAP3K6K_Chart_02.jpg is not an image,
2539,2019-04-24 17:02:55,168,botID1212,botinstance2323,task000,None,None,None,Promo_SWAP3K6K_w16_SWAP3K6K_Chart_02.jpg is not an image,
2540,2019-04-24 17:04:02,203,botID1212,botinstance2323,task000,None,None,None,PROMO_FTTA_w16_SU MEMO Migration FTTA_Chart_02.jpg is not an image,
2541,2019-04-24 17:04:02,291,botID1212,botinstance2323,task000,None,None,None,PROMO_FTTA_w16_SU MEMO Switch_Chart_02.jpg is not an image,
2542,2019-04-24 17:04:14,112,botID1212,botinstance2323,task000,None,None,None,PROMO_CITRON_ZTD__sans_type_routage_w16_CIQ_Chart_02.jpg is not an image,
2543,2019-04-24 17:04:14,228,botID1212,botinstance2323,task000,None,None,None,PROMO_CITRON_ZTD__sans_type_routage_w16_FC_Chart_02.jpg is not an image,
2544,2019-04-24 17:04:25,546,botID1212,botinstance2323,task000,None,None,None,Promo_6.9L700_w16_SU_PRQ_CIQ_Chart_02.jpg is not an image,
2545,2019-04-24 17:04:25,667,botID1212,botinstance2323,task000,None,None,None,Promo_6.9L700_w16_SU_PRQ_FC_Chart_02.jpg is not an image,
2546,2019-04-24 17:05:00,413,botID1212,botinstance2323,task000,None,None,None,PRQ_IMES_POST_MEL_ZTD__sans_type_routage_w16_CHECK MEMO_Chart_02.jpg is not an image,
2547,2019-04-24 17:05:00,982,botID1212,botinstance2323,task000,None,None,None,PRQ_IMES_POST_MEL_ZTD__sans_type_routage_w16_QUALIF TRANS_Chart_02.jpg is not an image,
2548,2019-04-24 17:05:16,888,botID1212,botinstance2323,task000,None,None,None,PROMO_DI_w16_PRQ Memo DI_Chart_02.jpg is not an image,
2607,2019-04-24 17:02:11,489,botID1212,botinstance2323,task000,None,None,None,VDR_CRZ_new_w16_SU_CRZ_CIQ _Chart_02.jpg is not an image,
2608,2019-04-24 17:02:11,614,botID1212,botinstance2323,task000,None,None,None,VDR_CRZ_new_w16_SU VDR_CRZ_FC_Chart_02.jpg is not an image,
2609,2019-04-24 17:02:21,703,botID1212,botinstance2323,task000,None,None,None,MBH_RATP_w16_new_MBH W-1_Chart_02.jpg is not an image,
2610,2019-04-24 17:02:35,242,botID1212,botinstance2323,task000,None,None,None,RATP_IMES_2019.04.22_RATP_CHECK_CIQ_Chart_02.jpg is not an image,
2611,2019-04-24 17:02:55,80,botID1212,botinstance2323,task000,None,None,None,Promo_SWAP3K6K_w16_PRQ SWAP3K6K_Chart_02.jpg is not an image,
2612,2019-04-24 17:02:55,168,botID1212,botinstance2323,task000,None,None,None,Promo_SWAP3K6K_w16_SWAP3K6K_Chart_02.jpg is not an image,
2613,2019-04-24 17:04:02,203,botID1212,botinstance2323,task000,None,None,None,PROMO_FTTA_w16_SU MEMO Migration FTTA_Chart_02.jpg is not an image,
2614,2019-04-24 17:04:02,291,botID1212,botinstance2323,task000,None,None,None,PROMO_FTTA_w16_SU MEMO Switch_Chart_02.jpg is not an image,
2615,2019-04-24 17:04:14,112,botID1212,botinstance2323,task000,None,None,None,PROMO_CITRON_ZTD__sans_type_routage_w16_CIQ_Chart_02.jpg is not an image,
2616,2019-04-24 17:04:14,228,botID1212,botinstance2323,task000,None,None,None,PROMO_CITRON_ZTD__sans_type_routage_w16_FC_Chart_02.jpg is not an image,
2617,2019-04-24 17:04:25,546,botID1212,botinstance2323,task000,None,None,None,Promo_6.9L700_w16_SU_PRQ_CIQ_Chart_02.jpg is not an image,
2618,2019-04-24 17:04:25,667,botID1212,botinstance2323,task000,None,None,None,Promo_6.9L700_w16_SU_PRQ_FC_Chart_02.jpg is not an image,
2619,2019-04-24 17:05:00,413,botID1212,botinstance2323,task000,None,None,None,PRQ_IMES_POST_MEL_ZTD__sans_type_routage_w16_CHECK MEMO_Chart_02.jpg is not an image,
2620,2019-04-24 17:05:00,982,botID1212,botinstance2323,task000,None,None,None,PRQ_IMES_POST_MEL_ZTD__sans_type_routage_w16_QUALIF TRANS_Chart_02.jpg is not an image,
2621,2019-04-24 17:05:16,888,botID1212,botinstance2323,task000,None,None,None,PROMO_DI_w16_PRQ Memo DI_Chart_02.jpg is not an image,
